,Mileage,EngineV,Price_log,Brand_Audi,Brand_BMW,Brand_Mercedes-Benz,Brand_Mitsubishi,Brand_Renault,Brand_Toyota,Brand_Volkswagen,Body_crossover,Body_hatch,Body_other,Body_sedan,Body_vagon,Body_van,Engine Type_Diesel,Engine Type_Gas,Engine Type_Other,Engine Type_Petrol,Registration_no,Registration_yes
0,277,2.0,8.34283980427146,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,427,2.9,8.974618038455112,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2,358,5.0,9.495519314209846,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,240,4.2,10.043249494911286,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
4,120,2.0,9.814656338829513,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
6,438,2.0,8.716044050161402,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
7,200,2.7,9.560997243589352,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
8,193,1.5,9.28720881623276,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
9,212,1.8,7.24422751560335,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
10,177,1.5,9.388486557359657,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
11,260,1.79,7.824046010856292,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
12,165,2.7,9.159047077588632,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
13,100,1.8,9.259130536145614,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
14,250,4.7,9.680344001221918,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
15,84,1.5,9.0595174822416,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
16,203,2.0,8.003028666384733,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
18,21,2.0,10.184900011974314,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
19,250,2.5,8.160518247477505,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
20,0,2.4,10.551454296015532,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
21,132,1.4,8.922658299524402,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
22,225,2.4,8.824677891164198,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
23,130,2.4,9.259130536145614,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
